datetime,	activation,	dropout,	momentum,	minibatch_size,	n_epochs,	learning_rate,	optimizer,	n_layers,	units1,	units2,	units3,	units4,	units5,	units6,	training_r2,	test_r2
2018-03-27 18:12:28,	relu,	0.719321715716,	0.776179277557,	5420,	252,	0.0113542938948,	GradientDescentOptimizer,	4,	8.21554585907,	11.6176960732,	13.4179394475,	4.20763467453,	None,	None,	-0.0904662637042,	-0.0904662637042
2018-03-27 18:12:28,	relu,	0.79363292994,	0.77586174887,	3278,	254,	0.0122820626161,	GradientDescentOptimizer,	4,	8.17541416944,	11.6502635566,	13.5831323156,	4.20277126874,	None,	None,	-0.57866008065,	-0.57866008065
2018-03-27 18:12:28,	relu,	0.782121116205,	0.77748700689,	5399,	254,	0.0125727431466,	GradientDescentOptimizer,	4,	8.10961494624,	11.6094845796,	11.5673970343,	5.48968920661,	None,	None,	-0.909504297648,	-0.909504297648
2018-03-27 18:12:28,	relu,	0.788860428787,	0.775106683005,	5513,	254,	0.0124020978232,	GradientDescentOptimizer,	4,	8.04429169154,	11.6341493658,	13.4423970343,	3.99608643433,	None,	None,	-0.966378707397,	-0.966378707397
2018-03-27 18:12:28,	relu,	0.789803543728,	0.773602851062,	5439,	254,	0.0133799047582,	GradientDescentOptimizer,	4,	8.06949246065,	11.6176908291,	13.4577534425,	4.05334677141,	None,	None,	-0.772137126542,	-0.772137126542
2018-03-27 18:12:28,	relu,	0.789411067421,	0.773316185879,	5509,	254,	0.012872221996,	GradientDescentOptimizer,	4,	8.22407006661,	11.6916406549,	10.7121504813,	4.0092158732,	None,	None,	-0.891794904496,	-0.891794904496
2018-03-27 18:12:28,	relu,	0.791483647042,	0.779948036776,	5291,	253,	0.0129468530762,	GradientDescentOptimizer,	4,	7.98938129083,	11.8187431954,	13.6236344795,	4.0826889628,	None,	None,	-0.205799844398,	-0.205799844398
2018-03-27 18:12:28,	relu,	0.793504950519,	0.779868321041,	4536,	253,	0.0128710491738,	GradientDescentOptimizer,	4,	8.04553386291,	11.7164721938,	10.7851022556,	4.04267994168,	None,	None,	-0.0703790445231,	-0.0703790445231
2018-03-27 18:12:28,	relu,	0.794727839942,	0.777934145916,	5286,	253,	0.0115822803737,	GradientDescentOptimizer,	4,	8.01479719717,	11.7643031216,	13.6908724436,	4.14406771623,	None,	None,	-0.42140595383,	-0.42140595383
2018-03-27 18:12:28,	relu,	0.784059024146,	0.779501863313,	5499,	250,	0.0126501021236,	GradientDescentOptimizer,	4,	8.15546595054,	11.7314560695,	13.5483433612,	5.72406420661,	None,	None,	-0.268905492257,	-0.268905492257
2018-03-27 18:12:28,	relu,	0.794259605839,	0.77905979438,	5545,	254,	0.0128425300039,	GradientDescentOptimizer,	4,	8.06076067054,	11.4996308818,	13.5262192032,	4.09506498466,	None,	None,	-0.538251238569,	-0.538251238569
2018-03-27 18:12:28,	relu,	0.798168554709,	0.773345312261,	5518,	254,	0.0124818917524,	GradientDescentOptimizer,	4,	8.17223271137,	11.5362235655,	13.733346519,	3.87492854933,	None,	None,	-0.324240616882,	-0.324240616882
2018-03-27 18:12:28,	relu,	0.786647710491,	0.77733673515,	5258,	256,	0.0114125531915,	GradientDescentOptimizer,	4,	8.33217409704,	11.6434216334,	11.8017720343,	4.09862604674,	None,	None,	-0.328243027339,	-0.328243027339
2018-03-27 18:12:28,	relu,	0.788059580536,	0.769688068439,	2697,	253,	0.012642502211,	GradientDescentOptimizer,	4,	8.10067780381,	11.6181287422,	13.5817370517,	4.06321133379,	None,	None,	-0.473351575303,	-0.473351575303
2018-03-27 18:12:28,	relu,	0.766196715716,	0.774379228925,	5325,	253,	0.0114393647517,	GradientDescentOptimizer,	4,	8.08225284022,	11.6348316297,	13.5372451055,	4.09036130764,	None,	None,	-0.498643444351,	-0.498643444351
2018-03-27 18:12:28,	relu,	0.786379130299,	0.777600731844,	5260,	255,	0.011769579604,	GradientDescentOptimizer,	4,	8.25052963782,	11.8061169038,	10.8642720343,	3.9448485637,	None,	None,	-0.938246547072,	-0.938246547072
2018-03-27 18:12:28,	relu,	0.790829652323,	0.774271520857,	5220,	252,	0.0121242165192,	GradientDescentOptimizer,	4,	8.09102627209,	11.6631667225,	13.5833689823,	4.08892114858,	None,	None,	-0.123451312444,	-0.123451312444
2018-03-27 18:12:28,	relu,	0.783986903285,	0.778077590401,	3498,	253,	0.013188781688,	GradientDescentOptimizer,	4,	8.10739636986,	11.6878683043,	13.6042557368,	4.78656420661,	None,	None,	-0.660755043087,	-0.660755043087
2018-03-27 18:12:28,	relu,	0.703696715716,	0.77713309026,	5483,	254,	0.0138705102974,	GradientDescentOptimizer,	4,	8.17197967313,	11.6561346539,	13.6320329863,	3.93977669377,	None,	None,	-0.521898414906,	-0.521898414906
2018-03-27 18:12:28,	relu,	0.807223294289,	0.782506037476,	2080,	254,	0.0117520458764,	GradientDescentOptimizer,	4,	8.15740700696,	11.7237887018,	13.5742851428,	3.93106031818,	None,	None,	-0.456584700429,	-0.456584700429
2018-03-27 18:12:28,	relu,	0.782375943763,	0.772902865778,	5396,	252,	0.0127029497819,	GradientDescentOptimizer,	4,	8.13973298962,	11.646020683,	10.778425848,	4.0260320921,	None,	None,	-0.854795747326,	-0.854795747326
