activation, dropout, momentum, minibatch_size, n_epochs, learning_rate, optimizer, nn_structure, train_r2, test_r2
elu, None, None, 64, 0, 0.001, AdamOptimizer, 3---6---3, 0.13062561579906007, 0.13067336220443782
elu, None, None, 64, 1, 0.001, AdamOptimizer, 3---6---3, 0.15695272783595082, 0.15362099247601135
elu, None, None, 64, 1, 0.001, AdamOptimizer, 3---6---3, 0.1727958793126908, 0.1832920747946003
elu, None, None, 64, 2, 0.001, AdamOptimizer, 3---6---3, 0.1882177782926303, 0.1683579367508795
elu, None, None, 64, 3, 0.001, AdamOptimizer, 3---6---3, 0.19636441951503047, 0.19134808284339433
elu, None, None, 64, 3, 0.001, AdamOptimizer, 3---6---3, 0.20861355119019975, 0.17253789992047408
elu, None, None, 64, 4, 0.001, AdamOptimizer, 3---6---3, 0.22052889648120688, 0.19534066697661057
elu, None, None, 64, 5, 0.001, AdamOptimizer, 3---6---3, 0.23289559685621064, 0.16917098218313287
elu, None, None, 64, 5, 0.001, AdamOptimizer, 3---6---3, 0.23977188926722437, 0.15871358587016549
elu, None, None, 64, 6, 0.001, AdamOptimizer, 3---6---3, 0.251255297372185, 0.16926381260345147
elu, None, None, 64, 7, 0.001, AdamOptimizer, 3---6---3, 0.26045234043406296, 0.175172605838413
elu, None, None, 64, 7, 0.001, AdamOptimizer, 3---6---3, 0.266635627517366, 0.17101936455975764
elu, None, None, 64, 8, 0.001, AdamOptimizer, 3---6---3, 0.2726183578083179, 0.17966660267788437
elu, None, None, 64, 8, 0.001, AdamOptimizer, 3---6---3, 0.2793880369090077, 0.1491424129293054
elu, None, None, 64, 9, 0.001, AdamOptimizer, 3---6---3, 0.2840350638755236, 0.14845853997360225
elu, None, None, 64, 10, 0.001, AdamOptimizer, 3---6---3, 0.28413197154708114, 0.13365763039130307
elu, None, None, 64, 10, 0.001, AdamOptimizer, 3---6---3, 0.28708396336233566, 0.12484061882867237
elu, None, None, 64, 11, 0.001, AdamOptimizer, 3---6---3, 0.2913759822248887, 0.13772487255008503
elu, None, None, 64, 12, 0.001, AdamOptimizer, 3---6---3, 0.29341099687909167, 0.115285800514905
elu, None, None, 64, 12, 0.001, AdamOptimizer, 3---6---3, 0.2972271863812267, 0.12976702376475768
elu, None, None, 64, 13, 0.001, AdamOptimizer, 3---6---3, 0.2985719149063899, 0.106944350725652
elu, None, None, 64, 0, 0.001, AdamOptimizer, 6---3, 0.18853342522124006, 0.1984518780784511
elu, None, None, 64, 1, 0.001, AdamOptimizer, 6---3, 0.2175640282090855, 0.23046601706788628
elu, None, None, 64, 1, 0.001, AdamOptimizer, 6---3, 0.23298057986236476, 0.24165364460554628
elu, None, None, 64, 2, 0.001, AdamOptimizer, 6---3, 0.24521718700363537, 0.24561564420637594
elu, None, None, 64, 3, 0.001, AdamOptimizer, 6---3, 0.2543823453763877, 0.24356442818170287
elu, None, None, 64, 3, 0.001, AdamOptimizer, 6---3, 0.2629520702655763, 0.24322664921741277
elu, None, None, 64, 4, 0.001, AdamOptimizer, 6---3, 0.2704619727156675, 0.24680050831206324
elu, None, None, 64, 5, 0.001, AdamOptimizer, 6---3, 0.27819402574317575, 0.23780999376134238
elu, None, None, 64, 5, 0.001, AdamOptimizer, 6---3, 0.28412833303279217, 0.2324038102759436
elu, None, None, 64, 6, 0.001, AdamOptimizer, 6---3, 0.2869609999766488, 0.23017306913348212
elu, None, None, 64, 7, 0.001, AdamOptimizer, 6---3, 0.2913837103922232, 0.2215460507637096
elu, None, None, 64, 7, 0.001, AdamOptimizer, 6---3, 0.29288457571836457, 0.20750901448514703
elu, None, None, 64, 0, 0.001, AdamOptimizer, 1-2---3, 0.21932280804002302, 0.2038492515015028
elu, None, None, 64, 1, 0.001, AdamOptimizer, 1-2---3, 0.2477314872450187, 0.24329284183552513
elu, None, None, 64, 1, 0.001, AdamOptimizer, 1-2---3, 0.26559345542137125, 0.205452850794846
elu, None, None, 64, 2, 0.001, AdamOptimizer, 1-2---3, 0.2767917646112237, 0.21106626374082094
elu, None, None, 64, 3, 0.001, AdamOptimizer, 1-2---3, 0.2831989426222081, 0.1822728234502463
elu, None, None, 64, 3, 0.001, AdamOptimizer, 1-2---3, 0.28734188884963463, 0.1883629668044926
elu, None, None, 64, 4, 0.001, AdamOptimizer, 1-2---3, 0.2920776927576376, 0.15228045067500018
elu, None, None, 64, 5, 0.001, AdamOptimizer, 1-2---3, 0.29567540167290074, 0.1693742233298271
elu, None, None, 64, 0, 0.001, AdamOptimizer, 8---3, -0.31058931776863985, 0.0726398198763667
elu, None, None, 64, 1, 0.001, AdamOptimizer, 8---3, 0.05489432575901887, 0.2108234143451324
elu, None, None, 64, 1, 0.001, AdamOptimizer, 8---3, 0.1874947860641647, 0.23075161543024347
elu, None, None, 64, 2, 0.001, AdamOptimizer, 8---3, 0.23101877793933745, 0.22346425347128407
elu, None, None, 64, 3, 0.001, AdamOptimizer, 8---3, 0.24875025782255655, 0.22816040720964148
elu, None, None, 64, 3, 0.001, AdamOptimizer, 8---3, 0.2617324233760241, 0.22939983553160448
elu, None, None, 64, 4, 0.001, AdamOptimizer, 8---3, 0.2714696959279812, 0.22685629494140946
elu, None, None, 64, 5, 0.001, AdamOptimizer, 8---3, 0.2806598877186842, 0.21316202220760339
elu, None, None, 64, 5, 0.001, AdamOptimizer, 8---3, 0.28514304456722706, 0.20078873462793734
elu, None, None, 64, 6, 0.001, AdamOptimizer, 8---3, 0.28799204593215166, 0.21871571518644195
elu, None, None, 64, 7, 0.001, AdamOptimizer, 8---3, 0.29579757863809775, 0.19472646017368633
elu, None, None, 64, 7, 0.001, AdamOptimizer, 8---3, 0.296898864327487, 0.19449593171140844
elu, None, None, 64, 8, 0.001, AdamOptimizer, 8---3, 0.29929560765250385, 0.1859325936549885
elu, None, None, 64, 8, 0.001, AdamOptimizer, 8---3, 0.2997827167591711, 0.18500092543967817
elu, None, None, 64, 9, 0.001, AdamOptimizer, 8---3, 0.3013209600889277, 0.1945545889712309
elu, None, None, 64, 0, 0.001, AdamOptimizer, 6---3, -0.011357122850266688, -0.07629935889445116
elu, None, None, 64, 1, 0.001, AdamOptimizer, 6---3, 0.1767432605685667, 0.12344662172003629
elu, None, None, 64, 1, 0.001, AdamOptimizer, 6---3, 0.21201093485678635, 0.1544763492328054
elu, None, None, 64, 2, 0.001, AdamOptimizer, 6---3, 0.22752143343120435, 0.1840634357261587
elu, None, None, 64, 3, 0.001, AdamOptimizer, 6---3, 0.2351187527160532, 0.1846876689026351
elu, None, None, 64, 3, 0.001, AdamOptimizer, 6---3, 0.2436661651629115, 0.1837370712763564
elu, None, None, 64, 4, 0.001, AdamOptimizer, 6---3, 0.24999862357883396, 0.18839650592108348
elu, None, None, 64, 5, 0.001, AdamOptimizer, 6---3, 0.2545653472867252, 0.1906536993113841
elu, None, None, 64, 5, 0.001, AdamOptimizer, 6---3, 0.25775465241913353, 0.1771741483186524
elu, None, None, 64, 6, 0.001, AdamOptimizer, 6---3, 0.26156789797033986, 0.17743597678783862
elu, None, None, 64, 7, 0.001, AdamOptimizer, 6---3, 0.26580249716364857, 0.17666077081226195
elu, None, None, 64, 7, 0.001, AdamOptimizer, 6---3, 0.26867472147970617, 0.1803428397280552
elu, None, None, 64, 8, 0.001, AdamOptimizer, 6---3, 0.2715884167841157, 0.17688638405766777
elu, None, None, 64, 8, 0.001, AdamOptimizer, 6---3, 0.2734155620091522, 0.17958211281650416
elu, None, None, 64, 9, 0.001, AdamOptimizer, 6---3, 0.2748664736350219, 0.18333473863978944
elu, None, None, 64, 0, 0.001, AdamOptimizer, 4---3, 0.04595818820667874, 0.08442128483754352
elu, None, None, 64, 1, 0.001, AdamOptimizer, 4---3, 0.10608796203448867, 0.11424788234941174
elu, None, None, 64, 1, 0.001, AdamOptimizer, 4---3, 0.14229721179849564, 0.1371755595683546
elu, None, None, 64, 2, 0.001, AdamOptimizer, 4---3, 0.17374530573199143, 0.1595977457361879
elu, None, None, 64, 3, 0.001, AdamOptimizer, 4---3, 0.1961061686278015, 0.17740015922473473
elu, None, None, 64, 3, 0.001, AdamOptimizer, 4---3, 0.2112558267539043, 0.18838482394363343
elu, None, None, 64, 4, 0.001, AdamOptimizer, 4---3, 0.2234696239255065, 0.19795344111189295
elu, None, None, 64, 5, 0.001, AdamOptimizer, 4---3, 0.23208744634322587, 0.20348026155682475
elu, None, None, 64, 5, 0.001, AdamOptimizer, 4---3, 0.2412971725889016, 0.21153949849906728
elu, None, None, 64, 6, 0.001, AdamOptimizer, 4---3, 0.24840391680407636, 0.21196063117946495
elu, None, None, 64, 7, 0.001, AdamOptimizer, 4---3, 0.25498418898714226, 0.21223931876935564
elu, None, None, 64, 7, 0.001, AdamOptimizer, 4---3, 0.2617314773052901, 0.21748787758319987
elu, None, None, 64, 8, 0.001, AdamOptimizer, 4---3, 0.26662378452629865, 0.2212390262841556
elu, None, None, 64, 8, 0.001, AdamOptimizer, 4---3, 0.2718325852481608, 0.21831620035057686
elu, None, None, 64, 9, 0.001, AdamOptimizer, 4---3, 0.2758637294399642, 0.21353549014752093
elu, None, None, 64, 10, 0.001, AdamOptimizer, 4---3, 0.2788161588001292, 0.21509541352737815
elu, None, None, 64, 10, 0.001, AdamOptimizer, 4---3, 0.2810967352885184, 0.21390416140972313
elu, None, None, 64, 11, 0.001, AdamOptimizer, 4---3, 0.2830676184830855, 0.20977064058074424
elu, None, None, 64, 12, 0.001, AdamOptimizer, 4---3, 0.28513878158526307, 0.20764289680850234
elu, None, None, 64, 12, 0.001, AdamOptimizer, 4---3, 0.286043802219794, 0.20586418714182142
elu, None, None, 64, 13, 0.001, AdamOptimizer, 4---3, 0.2880009907133756, 0.2019146068160772
elu, None, None, 64, 14, 0.001, AdamOptimizer, 4---3, 0.2888360827138088, 0.19502522722091054
elu, None, None, 64, 14, 0.001, AdamOptimizer, 4---3, 0.28965666487079844, 0.19362104771665645
elu, None, None, 64, 15, 0.001, AdamOptimizer, 4---3, 0.29045111240141674, 0.1927151913256523
elu, None, None, 64, 16, 0.001, AdamOptimizer, 4---3, 0.290766576896448, 0.19415791816439498
elu, None, None, 64, 16, 0.001, AdamOptimizer, 4---3, 0.2928473447622999, 0.1890543524570386
elu, None, None, 64, 17, 0.001, AdamOptimizer, 4---3, 0.2936461665987933, 0.18710310065644298
elu, None, None, 64, 17, 0.001, AdamOptimizer, 4---3, 0.2942584374686964, 0.17795177327109724
elu, None, None, 64, 18, 0.001, AdamOptimizer, 4---3, 0.29488029664419146, 0.18550538362248614
elu, None, None, 64, 19, 0.001, AdamOptimizer, 4---3, 0.2954244933740916, 0.17341601437306875
elu, None, None, 64, 19, 0.001, AdamOptimizer, 4---3, 0.29468171148217026, 0.1697822800730736
elu, None, None, 64, 0, 0.001, AdamOptimizer, 4---6, 0.03890843510926012, 0.03803882347795684
elu, None, None, 64, 1, 0.001, AdamOptimizer, 4---6, 0.172863147552334, 0.09406140546253272
