    number:    symbol:           name:     group:    period:     block:    series:            mass:    eleneg:  eleaffin:    covrad:    atmrad:    vdwrad:     tboil:     tmelt:   density:                     eleconfig:                     oxistates:                                                                                                                                                                           ionenergy:     ldauu:     ldauj:                                                                                                                                                               ldaucomment:
        50:      'Sn':          'Tin':        14:         5:       'p':         7:          118.71:      1.96:  1.112066:      1.41:      1.72:      2.17:    2876.0:    505.12:      7.29:           '[Kr] 4d10 5s2 5p2':                      '4*, 2*':                                                                                                                                           (7.3439, 14.632, 30.502, 40.734, 72.28, ):         0:         0:                                                                                                                                                                 'No data'
        51:      'Sb':     'Antimony':        15:         5:       'p':         5:          121.76:      2.05:  1.047401:       1.4:      1.53:       0.0:    1860.0:    903.91:      6.69:           '[Kr] 4d10 5s2 5p3':                   '5, 3*, -3':                                                                                                                                          (8.6084, 16.53, 25.3, 44.2, 56.0, 108.0, ):         0:         0:                                                                                                                                                                 'No data'
        52:      'Te':    'Tellurium':        16:         5:       'p':         5:           127.6:       2.1:  1.970875:      1.36:      1.42:      2.06:    1261.0:    722.72:      6.25:           '[Kr] 4d10 5s2 5p4':                   '6, 4*, -2':                                                                                                                                  (9.0096, 18.6, 27.96, 37.41, 58.75, 70.7, 137.0, ):         0:         0:                                                                                                                                                                 'No data'
        53:       'I':       'Iodine':        17:         5:       'p':         6:       126.90447:      2.66:  3.059038:      1.33:      1.32:      1.98:     457.5:     386.7:      4.94:           '[Kr] 4d10 5s2 5p5':                '7, 5, 1, -1*':                                                                                                                                                           (10.4513, 19.131, 33.0, ):         0:         0:                                                                                                                                                                 'No data'
        54:      'Xe':        'Xenon':        18:         5:       'p':         2:         131.293:       0.0:       0.0:      1.31:      1.24:      2.16:     165.1:    161.39:      4.49:           '[Kr] 4d10 5s2 5p6':                     '2, 4, 6':                                                                                                                                                            (12.1298, 21.21, 32.1, ):         0:         0:                                                                                                                                                                 'No data'
        55:      'Cs':      'Caesium':         1:         6:       's':         3:       132.90545:      0.79:  0.471626:      2.35:      3.34:       0.0:     944.0:    301.54:       1.9:                     '[Xe] 6s':                          '1*':                                                                                                                                                                    (3.8939, 25.1, ):         0:         0:                                                                                                                                                                 'No data'
        56:      'Ba':       'Barium':         2:         6:       's':         4:         137.327:      0.89:   0.14462:      1.98:      2.78:       0.0:    2078.0:    1002.0:      3.65:                    '[Xe] 6s2':                          '2*':                                                                                                                                                                 (5.2117, 100.004, ):         0:         0:                                                                                                                                                                 'No data'
        57:      'La':    'Lanthanum':         3:         6:       'f':         9:        138.9055:       1.1:      0.47:      1.69:      2.74:       0.0:    3737.0:    1191.0:      6.16:                 '[Xe] 5d 6s2':                          '3*':                                                                                                                                                           (5.5769, 11.06, 19.175, ):         2:         0:                                                                                                                                           '2+SOC!, j.jallcom.2013.10.043'
        58:      'Ce':       'Cerium':         3:         6:       'f':         9:         140.116:      1.12:       0.5:      1.65:       2.7:       0.0:    3715.0:    1071.0:      6.77:              '[Xe] 4f 5d 6s2':                       '4, 3*':                                                                                                                                                      (5.5387, 10.85, 20.2, 36.72, ):         0:         0:                                                                                                                                                                 'No data'
        59:      'Pr': 'Praseodymium':         3:         6:       'f':         9:       140.90765:      1.13:       0.5:      1.65:      2.67:       0.0:    3785.0:    1204.0:      6.48:                '[Xe] 4f3 6s2':                       '4, 3*':                                                                                                                                               (5.473, 10.55, 21.62, 38.95, 57.45, ):         0:         0:                                                                                                                                                                 'No data'
        60:      'Nd':    'Neodymium':         3:         6:       'f':         9:          144.24:      1.14:       0.5:      1.64:      2.64:       0.0:    3347.0:    1294.0:       7.0:                '[Xe] 4f4 6s2':                          '3*':                                                                                                                                                                    (5.525, 10.72, ):         0:         0:                                                                                                                                                                 'No data'
        61:      'Pm':   'Promethium':         3:         6:       'f':         9:      144.912744:      1.13:       0.5:      1.63:      2.62:       0.0:    3273.0:    1315.0:      7.22:                '[Xe] 4f5 6s2':                          '3*':                                                                                                                                                                     (5.582, 10.9, ):         0:         0:                                                                                                                                                                 'No data'
        62:      'Sm':     'Samarium':         3:         6:       'f':         9:          150.36:      1.17:       0.5:      1.62:      2.59:       0.0:    2067.0:    1347.0:      7.54:                '[Xe] 4f6 6s2':                       '3*, 2':                                                                                                                                                                   (5.6437, 11.07, ):         0:         0:                                                                                                                                                                 'No data'
        63:      'Eu':     'Europium':         3:         6:       'f':         9:         151.964:       1.2:       0.5:      1.85:      2.56:       0.0:    1800.0:    1095.0:      5.25:                '[Xe] 4f7 6s2':                       '3*, 2':                                                                                                                                                                   (5.6704, 11.25, ):         0:         0:                                                                                                                                                                 'No data'
        64:      'Gd':   'Gadolinium':         3:         6:       'f':         9:          157.25:       1.2:       0.5:      1.61:      2.54:       0.0:    3545.0:    1585.0:      7.89:             '[Xe] 4f7 5d 6s2':                          '3*':                                                                                                                                                                    (6.1498, 12.1, ):         0:         0:                                                                                                                                                                 'No data'
        65:      'Tb':      'Terbium':         3:         6:       'f':         9:       158.92534:       1.2:       0.5:      1.59:      2.51:       0.0:    3500.0:    1629.0:      8.25:                '[Xe] 4f9 6s2':                       '4, 3*':                                                                                                                                                                   (5.8638, 11.52, ):         0:         0:                                                                                                                                                                 'No data'
        66:      'Dy':   'Dysprosium':         3:         6:       'f':         9:           162.5:      1.22:       0.5:      1.59:      2.49:       0.0:    2840.0:    1685.0:      8.56:               '[Xe] 4f10 6s2':                          '3*':                                                                                                                                                                   (5.9389, 11.67, ):         0:         0:                                                                                                                                                                 'No data'
        67:      'Ho':      'Holmium':         3:         6:       'f':         9:       164.93032:      1.23:       0.5:      1.58:      2.47:       0.0:    2968.0:    1747.0:      8.78:               '[Xe] 4f11 6s2':                          '3*':                                                                                                                                                                    (6.0215, 11.8, ):         0:         0:                                                                                                                                                                 'No data'
        68:      'Er':       'Erbium':         3:         6:       'f':         9:         167.259:      1.24:       0.5:      1.57:      2.45:       0.0:    3140.0:    1802.0:      9.05:               '[Xe] 4f12 6s2':                          '3*':                                                                                                                                                                   (6.1077, 11.93, ):         0:         0:                                                                                                                                                                 'No data'
        69:      'Tm':      'Thulium':         3:         6:       'f':         9:       168.93421:      1.25:       0.5:      1.56:      2.42:       0.0:    2223.0:    1818.0:      9.32:               '[Xe] 4f13 6s2':                       '3*, 2':                                                                                                                                                            (6.1843, 12.05, 23.71, ):         0:         0:                                                                                                                                                                 'No data'
